,MinT,MaxT,MeanT,TotR,TotS
2020-08-12,13.7800,34.6700,22.8345,0.0000,6.0572
2020-08-13,14.0600,32.2200,23.3768,1.0200,5.9089
2020-08-14,17.9400,22.8300,,0.0000,0.0034
2020-08-15,14.9400,27.0600,21.5868,0.2500,3.6337
2020-08-16,17.3300,30.3300,22.5703,0.2500,4.1855
2020-08-17,15.4400,26.2800,20.5705,0.5100,2.4639
2020-08-18,16.2200,24.1700,18.9071,11.9400,2.5705
2020-08-19,16.2800,26.0000,,2.7900,4.1026
2020-08-20,,,,-0.1000,-0.1000
2020-08-21,,,,-0.1000,-0.1000
2020-08-22,,,,-0.1000,-0.1000
2020-08-23,,,,-0.1000,-0.1000
2020-08-24,,,,-0.1000,-0.1000
2020-08-25,,,,-0.1000,-0.1000
2020-08-26,,,,-0.1000,-0.1000
2020-08-27,,,,-0.1000,-0.1000
2020-08-28,,,,-0.1000,-0.1000
2020-08-29,,,,-0.1000,-0.1000
2020-08-30,,,,-0.1000,-0.1000
2020-08-31,,,,-0.1000,-0.1000
